2936,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-0.002145775,-0.042391058,0.051637165,0.08552355,0.042384338,0.06105316,0.0795466,0.062974,0.05832954,0.05833079,0.020582194,-0.008070106,0.003509669,0.03449719,-0.002563373,0.072604805,0.27455455,0.010762556,0.10079947,-0.3227045,0.1639562,0.27441922,0.2281366,-0.17231551,-0.24986784,0.2325708,-0.18101302,-0.33167174,0.18645394,0.17528467,0.14969555,-0.25845274
hsa-miR-6087,-0.054187868,-0.025425464,0.030803991,0.06317707,0.008511826,-0.001256177,-0.0461011,-0.018040206,0.074322,0.05245014,0.014905965,-0.024262184,0.009351259,0.001685411,-0.05257817,-0.000948725,0.006953838,0.007633715,-0.036414616,0.019371644,-0.01434324,-0.036844842,0.019792136,0.022146499,0.038859166,-0.043193635,-0.019074753,-0.01566233,0.001763927,-0.013890477,0.002469095,-0.050040916
2026,0.046812516,-0.014369601,0.031602655,0.13951732,0.09252516,0.035735294,0.044295955,0.051394023,0.020861369,-0.017344546,-0.03431153,0.007858814,0.027378691,0.043508485,-0.022153312,-0.014757392,0.2770608,0.05384753,0.18333703,-0.3243225,0.23729421,0.23162635,0.23608384,-0.22996211,-0.24436386,0.23448245,-0.21052063,-0.25548482,0.18477307,0.13728878,0.10524788,-0.2527071
20,-0.05356876,-0.00872135,0.016860051,-0.06529852,-0.022649223,0.052427422,0.031247454,0.068245135,0.01605069,-0.03118613,0.050348956,0.07402824,-0.001932671,-0.05416318,0.03294274,0.06285689,0.17860061,0.051996898,0.14761181,-0.16791812,0.047929525,0.18036805,0.12879197,-0.03489562,-0.057945956,0.16291888,-0.036516096,-0.071947955,0.011242981,0.052076466,-0.003350817,-0.12874667
hsa-miR-7-5p,-0.006760279,-0.03165242,0.054924287,-0.07851999,-0.07764411,0.034115843,0.025941852,0.049058903,0.08550857,-0.04541889,0.07641503,0.005399864,-0.03210792,-0.027291473,0.053647794,0.082978144,-0.014823933,0.02282381,-0.019151876,0.004607074,-0.015406508,0.017963897,-0.050996725,-0.003781828,-0.004447226,-0.005750286,-0.009599908,-0.019423142,0.024385538,0.039398387,-0.021951092,0.01566421
hsa-miR-328-5p,-0.10103922,-0.005786472,0.13123117,-0.06220609,0.11941114,0.097009756,-0.001411894,0.027061103,-0.020483343,-0.10739149,0.06499042,-0.03040235,-0.042104397,-0.070654735,0.07777258,0.05705146,-0.007753592,-0.044838756,-0.03349871,-0.031664576,0.007772942,-0.038295146,-0.005533799,0.016035227,-0.013142732,-0.017606687,-0.012090314,0.046224866,0.056879576,-0.037454914,-0.0173093,-0.000978222
906,-0.018344149,-0.001635065,-0.006888839,0.07677841,-0.04204907,0.012718131,-0.030727018,-0.082202055,0.014450717,0.06765221,0.027977932,0.023225136,-0.015176388,-0.05234239,-0.07377111,-0.04437745,0.26575798,-0.017207243,0.23195618,-0.3343548,0.28032115,0.26334873,0.356012,-0.17526108,-0.20406471,0.25940123,-0.08022661,-0.252133,0.14763843,0.23750699,0.17794244,-0.2027046
hsa-miR-3689b-3p,-0.037832364,0.02733262,0.07941265,0.090148985,-0.052644182,-0.070730016,-0.012589113,-0.08419063,-0.00298445,0.005110898,-0.005049107,-0.005407356,-0.026166473,-0.051578708,-0.005946387,-0.051501542,-0.03414586,0.033157673,-0.044114806,0.028848711,0.005092915,-0.027005032,-0.041246075,-0.03223935,-0.03964694,0.035230845,-0.03769003,-0.005808274,-0.019594857,-0.017978352,-0.03878865,-0.010371801
907,-0.02537042,0.005904678,0.039012298,0.058725197,-0.03013811,-0.024965804,-0.00274569,-0.07526967,0.054723777,0.09244434,-0.04964208,0.004669499,-0.097743064,-0.011561819,-0.001215231,-0.04781876,0.25090855,-0.011633965,0.24551532,-0.29865617,0.25810346,0.24496812,0.2946024,-0.21394025,-0.20630108,0.26447958,-0.07344445,-0.307941,0.15061976,0.21129946,0.11118636,-0.18295394
908,-0.019384082,-0.036248453,0.044736378,0.12736082,-0.06249626,0.008260704,-0.021969043,-0.05404729,-0.009623612,0.048528247,-0.068324015,0.007641606,-0.085207395,-0.049806207,-0.05858712,0.007754496,0.28476372,-0.0995868,0.21733207,-0.2858064,0.2760943,0.26703483,0.33803692,-0.23071894,-0.27528808,0.28605568,-0.10313142,-0.32060543,0.13050954,0.2715932,0.0759112,-0.19711635
