1555,hsa-miR-4530
589,hsa-miR-5001-5p
10,hsa-miR-6731-5p
768,hsa-miR-6845-3p
553,hsa-miR-4642
218,hsa-miR-4539
189,hsa-miR-6754-5p
502,hsa-miR-1275
12,hsa-miR-7111-5p
256,hsa-miR-3187-5p
259,hsa-miR-6827-5p
84,hsa-miR-4739
1133,hsa-miR-1913
22,hsa-miR-1976
997,hsa-miR-6779-3p
458,hsa-miR-6803-5p
427,hsa-miR-7851-3p
258,hsa-miR-1207-5p
124,hsa-miR-5088-3p
1531,hsa-miR-612
1538,hsa-miR-4685-5p
859,hsa-miR-6838-5p
591,hsa-miR-3661
1362,hsa-miR-4763-3p
241,hsa-miR-1827
1932,hsa-miR-6756-5p
544,hsa-miR-6736-5p
1065,hsa-miR-4763-3p
543,hsa-miR-4642
125,hsa-miR-5008-5p
610,hsa-miR-6791-3p
506,hsa-miR-5685
455,hsa-miR-370-3p
6,hsa-miR-4756-5p
794,hsa-miR-6756-5p
1537,hsa-miR-4685-3p
85,hsa-miR-6859-5p
629,hsa-miR-612
190,hsa-miR-612
1006,hsa-miR-5095
564,hsa-miR-3613-3p
311,hsa-miR-6881-3p
224,hsa-miR-939-5p
1822,hsa-miR-608
870,hsa-miR-4778-3p
791,hsa-miR-665
2280,hsa-miR-16-5p
192,hsa-miR-4728-5p
14,hsa-miR-1277-5p
426,hsa-miR-6784-5p
960,hsa-miR-328-5p
121,hsa-miR-637
897,hsa-miR-1273h-5p
1057,hsa-miR-4419b
1434,hsa-miR-1207-5p
397,hsa-miR-6827-5p
96,hsa-miR-6825-5p
5,hsa-miR-1249-5p
816,hsa-miR-4728-5p
161,hsa-miR-526b-5p
638,hsa-miR-1827
222,hsa-miR-5189-5p
17,hsa-miR-587
11,hsa-miR-6794-5p
5,hsa-miR-6778-5p
780,hsa-miR-4763-3p
24,hsa-miR-6895-5p
984,hsa-miR-637
1828,hsa-miR-3619-5p
90,hsa-miR-1273h-5p
1535,hsa-miR-130b-5p
1007,hsa-miR-588
742,hsa-miR-877-3p
198,hsa-miR-6852-5p
1380,hsa-miR-6849-3p
156,hsa-miR-29a-3p
39,hsa-miR-3619-5p
252,hsa-miR-1207-5p
65,hsa-miR-655-5p
402,hsa-miR-6827-5p
601,hsa-miR-4739
403,hsa-miR-6827-5p
1575,hsa-miR-6508-3p
19,hsa-miR-3177-5p
950,hsa-miR-6893-3p
1007,hsa-miR-4745-3p
1445,hsa-miR-4763-3p
2150,hsa-miR-3942-3p
731,hsa-miR-3198
1046,hsa-miR-612
37,hsa-miR-6845-5p
99,hsa-miR-3180
910,hsa-miR-4763-3p
1368,hsa-miR-607
505,hsa-miR-4530
143,hsa-miR-5095
1003,hsa-miR-3929
471,hsa-miR-939-3p
2103,hsa-miR-181b-5p
176,hsa-miR-6854-5p
394,hsa-miR-6818-5p
163,hsa-miR-4510
222,hsa-miR-762
1101,hsa-miR-1273g-3p
176,hsa-miR-3192-5p
1624,hsa-miR-637
551,hsa-miR-181b-5p
174,hsa-miR-6854-5p
176,hsa-miR-6840-3p
151,hsa-miR-4728-5p
78,hsa-miR-4726-5p
281,hsa-miR-3065-3p
519,hsa-miR-23b-3p
622,hsa-miR-4778-3p
89,hsa-miR-6884-5p
741,hsa-miR-1273h-5p
2,hsa-miR-6797-5p
127,hsa-miR-6895-5p
253,hsa-miR-661
2295,hsa-miR-492
82,hsa-miR-6832-3p
189,hsa-miR-939-3p
1151,hsa-miR-6756-5p
315,hsa-miR-4419b
2035,hsa-miR-6791-5p
1513,hsa-miR-1303
731,hsa-miR-4659a-3p
394,hsa-miR-6751-5p
227,hsa-miR-4731-5p
185,hsa-miR-665
401,hsa-miR-5001-5p
747,hsa-miR-7974
1393,hsa-miR-619-5p
545,hsa-miR-4254
179,hsa-miR-3681-3p
188,hsa-miR-5100
98,hsa-miR-6883-5p
323,hsa-miR-6848-5p
768,hsa-miR-6852-3p
9,hsa-miR-5088-3p
17,hsa-miR-646
397,hsa-miR-6754-5p
173,hsa-miR-6884-5p
345,hsa-miR-6798-5p
876,hsa-miR-939-3p
30,hsa-miR-665
411,hsa-miR-6772-5p
672,hsa-miR-6848-5p
17,hsa-miR-6822-3p
374,hsa-miR-6788-5p
314,hsa-miR-1273h-5p
279,hsa-miR-3065-3p
1797,hsa-miR-3613-3p
467,hsa-miR-5096
950,hsa-miR-6882-3p
6,hsa-miR-939-5p
728,hsa-miR-1972
1896,hsa-miR-4778-3p
339,hsa-miR-6754-5p
1279,hsa-miR-4753-3p
145,hsa-miR-637
1154,hsa-miR-5193
1943,hsa-miR-619-5p
192,hsa-miR-4510
1040,hsa-miR-30b-3p
391,hsa-miR-4726-5p
224,hsa-miR-6860
9,hsa-miR-367-5p
387,hsa-miR-1273h-5p
84,hsa-miR-4784
1035,hsa-miR-1909-3p
55,hsa-miR-764
187,hsa-miR-6882-3p
1936,hsa-miR-4763-3p
970,hsa-miR-30b-3p
37,hsa-miR-6895-5p
230,hsa-miR-1236-3p
2,hsa-miR-6742-3p
235,hsa-miR-6810-5p
761,hsa-miR-1249-5p
478,hsa-miR-2861
464,hsa-miR-1286
8,hsa-miR-484
153,hsa-miR-3180-3p
26,hsa-miR-6132
1013,hsa-miR-181d-5p
124,hsa-miR-4726-3p
171,hsa-miR-1273h-5p
1122,hsa-miR-762
1575,hsa-miR-3158-5p
315,hsa-miR-30b-3p
147,hsa-miR-4739
339,hsa-miR-6860
8,hsa-miR-6851-3p
543,hsa-miR-4659b-3p
1543,hsa-miR-4763-3p
566,hsa-miR-149-3p
1733,hsa-miR-4659a-3p
95,hsa-miR-4731-5p
699,hsa-miR-4659b-3p
96,hsa-miR-3180-3p
619,hsa-miR-1286
339,hsa-miR-3187-5p
375,hsa-miR-6756-5p
1146,hsa-miR-3187-5p
1188,hsa-miR-3619-5p
279,hsa-miR-1226-5p
17,hsa-miR-6832-3p
319,hsa-miR-214-3p
412,hsa-miR-6840-3p
376,hsa-miR-6788-5p
29,hsa-miR-593-5p
118,hsa-miR-6132
489,hsa-miR-6884-5p
402,hsa-miR-1207-5p
2016,hsa-miR-4498
5,hsa-miR-3689a-3p
1044,hsa-miR-3929
1604,hsa-miR-1273h-5p
1671,hsa-miR-5193
224,hsa-miR-3187-5p
23,hsa-miR-1913
82,hsa-miR-135b-3p
1433,hsa-miR-3960
682,hsa-miR-450a-1-3p
2240,hsa-miR-646
199,hsa-miR-4530
1133,hsa-miR-612
827,hsa-miR-661
489,hsa-miR-1304-5p
9,hsa-miR-6875-3p
462,hsa-miR-29b-3p
799,hsa-miR-6860
1052,hsa-miR-328-5p
235,hsa-miR-6887-5p
538,hsa-miR-3925-3p
73,hsa-miR-214-3p
10,hsa-miR-5196-5p
403,hsa-miR-3187-5p
550,hsa-miR-4782-5p
1796,hsa-miR-3157-5p
1003,hsa-miR-4775
708,hsa-miR-190a-3p
1208,hsa-miR-4778-3p
178,hsa-miR-3187-5p
157,hsa-miR-29c-3p
80,hsa-miR-6836-5p
1017,hsa-miR-485-5p
1823,hsa-miR-4685-5p
1358,hsa-miR-4506
505,hsa-miR-29b-3p
1876,hsa-miR-6722-3p
304,hsa-miR-6860
20,hsa-miR-3202
41,hsa-miR-4530
293,hsa-miR-4728-5p
237,hsa-miR-6795-5p
49,hsa-miR-1281
255,hsa-miR-6860
154,hsa-miR-4640-5p
1010,hsa-miR-6796-5p
123,hsa-miR-6867-3p
136,hsa-miR-4726-5p
9,hsa-miR-6734-3p
346,hsa-miR-3620-5p
387,hsa-miR-1273g-3p
768,hsa-miR-3127-3p
463,hsa-miR-3065-3p
4,hsa-miR-6752-5p
5,hsa-miR-4510
551,hsa-miR-188-3p
624,hsa-miR-6881-3p
856,hsa-miR-6837-5p
125,hsa-miR-4768-5p
293,hsa-miR-6797-5p
506,hsa-miR-1199-5p
377,hsa-miR-6776-5p
13,hsa-miR-8085
1291,hsa-miR-619-5p
964,hsa-miR-3972
1586,hsa-miR-1913
2259,hsa-miR-5195-3p
831,hsa-miR-1184
347,hsa-miR-4656
8,hsa-miR-383-3p
706,hsa-miR-6756-5p
507,hsa-miR-1199-5p
977,hsa-miR-627-3p
688,hsa-miR-6825-5p
131,hsa-miR-181b-5p
332,hsa-miR-4691-5p
2052,hsa-miR-153-5p
1188,hsa-miR-4691-5p
784,hsa-miR-612
1383,hsa-miR-6849-3p
478,hsa-miR-3187-5p
1035,hsa-miR-6722-3p
2261,hsa-miR-4713-5p
75,hsa-miR-7851-3p
1059,hsa-miR-6514-3p
233,hsa-miR-6795-5p
966,hsa-miR-6085
1443,hsa-miR-1273h-5p
902,hsa-miR-6756-5p
366,hsa-miR-3620-5p
208,hsa-miR-6791-5p
1954,hsa-miR-6085
145,hsa-miR-4726-5p
26,hsa-miR-6879-5p
126,hsa-miR-661
972,hsa-miR-619-5p
146,hsa-miR-6825-5p
804,hsa-miR-612
394,hsa-miR-7110-5p
2326,hsa-miR-4753-3p
13,hsa-miR-6785-5p
507,hsa-miR-3127-5p
451,hsa-miR-6852-5p
611,hsa-miR-6829-3p
479,hsa-miR-939-5p
373,hsa-miR-6731-5p
506,hsa-miR-1202
9,hsa-miR-6515-5p
1082,hsa-miR-6827-5p
150,hsa-miR-7111-5p
1320,hsa-miR-6893-3p
668,hsa-miR-6881-3p
76,hsa-miR-4733-3p
75,hsa-miR-6849-3p
564,hsa-miR-1273a
26,hsa-miR-4763-3p
1976,hsa-miR-6829-3p
595,hsa-miR-6827-5p
42,hsa-miR-4530
103,hsa-miR-6791-5p
2326,hsa-miR-942-5p
1670,hsa-miR-5193
255,hsa-miR-6754-5p
834,hsa-miR-181d-5p
1369,hsa-miR-6888-3p
1484,hsa-miR-1273g-3p
176,hsa-miR-3929
1017,hsa-miR-1273h-5p
894,hsa-miR-30b-3p
1610,hsa-miR-5001-5p
214,hsa-miR-6749-3p
255,hsa-miR-2861
103,hsa-miR-6852-5p
1093,hsa-miR-6891-5p
118,hsa-miR-4530
64,hsa-miR-30d-3p
1253,hsa-miR-5193
1029,hsa-miR-4685-5p
84,hsa-miR-4644
74,hsa-miR-1286
19,hsa-miR-3149
495,hsa-miR-6736-3p
