722,hsa-miR-3619-5p
1097,hsa-miR-5001-5p
1114,hsa-miR-762
847,hsa-miR-6849-3p
304,hsa-miR-3622b-5p
1866,hsa-miR-485-5p
385,hsa-miR-6794-5p
1834,hsa-miR-3619-5p
1776,hsa-miR-23a-3p
27,hsa-miR-6757-5p
1881,hsa-miR-7843-5p
595,hsa-miR-1273a
298,hsa-miR-4687-3p
1747,hsa-miR-6873-3p
230,hsa-miR-661
90,hsa-miR-190a-3p
1587,hsa-miR-3187-5p
1434,hsa-miR-1184
1477,hsa-miR-6884-5p
1962,hsa-miR-1273g-3p
980,hsa-miR-214-3p
1612,hsa-miR-181b-5p
938,hsa-miR-6748-5p
1608,hsa-miR-181c-5p
1399,hsa-miR-6871-5p
9,hsa-miR-6812-5p
1124,hsa-miR-7114-5p
986,hsa-miR-4530
298,hsa-miR-549a
382,hsa-miR-6883-5p
930,hsa-miR-30b-3p
1189,hsa-miR-6803-5p
139,hsa-miR-4763-3p
394,hsa-miR-619-5p
230,hsa-miR-2861
41,hsa-miR-1273g-3p
683,hsa-miR-3202
907,hsa-miR-3192-5p
124,hsa-miR-6803-5p
2102,hsa-miR-6085
461,hsa-miR-4690-3p
2064,hsa-miR-5095
1076,hsa-miR-6881-3p
1237,hsa-miR-4632-5p
321,hsa-miR-1236-3p
467,hsa-miR-637
178,hsa-miR-6860
1537,hsa-miR-619-5p
1495,hsa-miR-6780b-3p
602,hsa-miR-6756-5p
906,hsa-miR-6851-5p
833,hsa-miR-6756-5p
301,hsa-miR-7113-3p
1315,hsa-miR-335-3p
155,hsa-miR-939-3p
790,hsa-miR-6849-3p
999,hsa-miR-3065-3p
1944,hsa-miR-1184
34,hsa-miR-6849-3p
474,hsa-miR-30b-3p
681,hsa-miR-6133
199,hsa-miR-612
920,hsa-miR-4778-3p
854,hsa-miR-4726-5p
299,hsa-miR-484
1886,hsa-miR-6848-5p
384,hsa-miR-6794-5p
203,hsa-miR-661
1128,hsa-miR-3198
85,hsa-miR-6799-5p
460,hsa-miR-6719-3p
461,hsa-miR-6731-5p
228,hsa-miR-3661
1828,hsa-miR-1286
925,hsa-miR-637
969,hsa-miR-1273h-5p
1794,hsa-miR-4726-5p
875,hsa-miR-619-5p
1751,hsa-miR-378c
298,hsa-miR-4722-5p
130,hsa-miR-4763-3p
589,hsa-miR-4739
200,hsa-miR-5100
